# Verifier Agent Hint Pools
# Format: phase|hint text
# Phases: idle, pulling, verifying, testing, committing
# Lines starting with # are ignored

idle|Watching for features to verify — file away
idle|All tests green — ready for the next verification
idle|Quiet cycle — monitoring for pending-test items
idle|Nothing to verify right now — standing by
idle|I'll pick up any pending-test items next cycle

pulling|Syncing with remote...
pulling|Pulling latest changes...

verifying|Running verification checks...
verifying|Checking acceptance criteria...
verifying|Reviewing implementation against spec...

testing|Running E2E test suite...
testing|Executing test plan...
testing|Checking test coverage...

committing|Pushing verification results...
committing|Committing QA findings...
