# PM/QA Hint Pools
# Format: phase|hint text
# Phases: idle, pulling, checkin, testing, verifying, planning, health
# Lines starting with # are ignored

idle|Msg me any time to talk about a feature or report a bug
idle|I'm monitoring the squad — all good so far
idle|Drop a message to adjust priorities or file new work
idle|Watching over the team — chime in whenever
idle|Quiet cycle — ready for your input

pulling|Syncing with remote...
pulling|Checking for upstream changes...

checkin|Checking for your messages...
checkin|Looking for new input from you...

testing|Running tests to check system health...
testing|Verifying the build is solid...

verifying|Reviewing completed work from dev agents...
verifying|Checking shipped features meet quality bar...
verifying|Validating bug fixes before closing...

planning|Running feature intake — discussion may block the loop
planning|Researching feature impact and edge cases...
planning|Walking through open questions with you...

health|Checking agent heartbeats...
health|Monitoring squad health...
